,index,name
0,2,Economic growth
1,3,"GDP per capita, PPP"
2,5,GDP share of agriculture
3,6,"GDP, current U.S. dollars"
4,7,Inflation
5,9,Government debt
6,10,Unemployment rate
7,11,Share of industry
8,12,Share of manufacturing
9,13,Share of services
10,15,Bank credit to the private sector
11,16,"Stock market capitalization, percent of GDP"
12,19,"Exports, percent of GDP"
13,20,"Imports, percent of GDP"
14,21,"Current account, percent of GDP old"
15,22,"Foreign Direct Investment, percent of GDP"
16,23,Reserves
17,25,Population size
18,26,Life expectancy
19,27,Internet users
20,29,Energy use per capita
21,30,Share of clean energy
22,31,Energy use per $1000 GDP
23,32,Energy imports
24,34,GDP per unit of energy
25,35,Lending interest rate
26,36,Youth unemployment
27,37,Remittances
28,40,Percent urban population
29,41,Female labor force participation
30,42,Male labor force participation
31,43,Labor force participation
32,45,"GDP, constant dollars"
33,47,"Trade balance, percent of GDP"
34,48,External debt
35,49,"Government spending, percent of GDP"
36,50,"Capital investment, percent of GDP"
37,52,"Savings, percent of GDP"
38,53,"GDP per capita, constant dollars"
39,56,Birth rate
40,57,Death rate
41,58,Health spending per capita
42,59,Health spending as percent of GDP
43,60,Tuberculosis
44,61,Age dependency ratio
45,62,Fertility rate
46,63,Women in parliament
47,68,"ATMs per 100,000 adults"
48,69,Non-performing loans
49,70,Credit information sharing
50,71,Listed companies
51,72,Stock market turnover ratio
52,73,Legal rights
53,75,Female unemployment
54,76,Male unemployment
55,77,Labor force: percent female
56,81,Competitiveness
57,83,Voice and accountability
58,86,Regulatory quality
59,90,Economic globalization
60,91,Social globalization
61,92,Political globalization
62,93,Overall globalization
63,95,Property rights
64,96,Freedom from corruption
65,97,Fiscal freedom
66,98,Business freedom
67,99,Labor freedom
68,100,Monetary freedom
69,101,Trade freedom
70,102,Investment freedom
71,103,Financial freedom
72,104,Human development
73,106,Political rights
74,107,Civil liberties
75,108,Corruption perceptions - Transparency International
76,111,Tax revenue
77,112,Commercial tax rate
78,113,Tax preparation time
79,114,Number of taxes
80,115,Taxes on goods and services
81,116,Taxes on international trade
82,117,Income and profits taxes
83,118,Innovation index
84,124,High tech exports
85,125,"High tech exports, percent of manufactured exports"
86,127,Patent applications by residents
87,131,Terms of trade
88,132,Port traffic
89,133,Information technology exports
90,134,Employment in agriculture
91,135,Access to electricity
92,136,Carbon dioxide (CO2) emissions
93,137,Carbon dioxide (CO2) emissions per capita
94,141,"Student teacher ratio, primary school"
95,142,"Female to male ratio, primary school pupils"
96,143,"Female to male ratio, secondary school students"
97,144,"Female to male ratio, students at tertiary level education"
98,145,Secondary school enrollment
99,146,Primary school enrollment
100,147,Preprimary school enrollment
101,148,Tertiary school enrollment
102,150,"Education spending, percent of GDP"
103,152,"Education spending, percent of government spending"
104,153,Primary school completion rate
105,154,Literacy rate
106,155,"Female literacy rate, ages 15-24"
107,156,"Male literacy rate, ages 15-24"
108,157,"Youth literacy rate, ages 15-24"
109,158,"School starting age, primary school"
110,161,Natural resources income
111,162,Oil revenue
112,163,Natural gas revenue
113,167,Airline passengers
114,168,"Internet subscribers, per 100 people"
115,169,Internet subscribers
116,170,Mobile phone subscribers
117,171,"Mobile phone subscribers, per 100 people"
118,174,"Railroad lines, km"
119,175,Railway transport of goods
120,176,Railway passengers
